latitude,longitude,error_m,bathymetry
41.34159158433471,-70.53824401269405,20.27802995633877,-9.801530161376993
41.34157163992849,-70.53828993495259,20.232788971966368,-9.80846450434154
41.34154112184641,-70.53834953267999,19.9810336556671,-9.81944397423095
41.341546238929176,-70.53838794935315,20.257588144089603,-9.814514705644697
41.34149137644721,-70.53842364943866,21.785552167748865,-9.837281909038394
41.341489463910484,-70.53845904360297,19.693076475143247,-9.834942191453122
41.34149444651097,-70.53850887729956,19.738153621335893,-9.825898169846615
41.341449358836265,-70.5385385791186,19.995647049335854,-9.845180093736207
41.34144652136194,-70.53859411922863,20.162839884438306,-9.837464742048121
41.34141034105192,-70.53861411863885,19.321706870877694,-9.853788460110088
41.341408868897304,-70.53866174763466,20.726682353860163,-9.845291326563453
41.341348136054386,-70.5386961770742,22.11774165719513,-9.872713844895014
41.34133003290309,-70.53872063514346,20.09126842402529,-9.877907597136883
41.34130428342812,-70.53876036130298,19.859323053009668,-9.884022412339958
41.341282872034185,-70.53881054141888,18.485637700420416,-9.884731368965866
41.34126155743788,-70.53884245855131,17.86153714704343,-9.889372240222576
41.3412549264085,-70.53889189975949,18.5750476970672,-9.880348657129229
41.34122611311155,-70.53892920376482,17.262392933939733,-9.888141827699343
41.34121075108992,-70.53896309896898,15.825116806429339,-9.88914958720573
41.34118913410689,-70.53901358752603,16.591627084198535,-9.8907533089984
41.34116668294336,-70.53906845831283,16.559581284113587,-9.893201027629472
41.341192694065036,-70.53911742207494,15.697592134053009,-9.870403150829262
41.341171315680306,-70.53915478295335,15.495915728319517,-9.877570791960553
41.34117243820905,-70.53920376886124,15.614129967083779,-9.871366845389625
41.34113513381172,-70.5392419538091,15.081546115459535,-9.88882876772902
41.34110697696358,-70.53928431788117,15.540520768967324,-9.901297112849159
41.34113031977529,-70.53934222332043,15.089664748924745,-9.884742345748164
41.341128046138095,-70.5393835355777,15.302293680527608,-9.882444849088031
41.34111273843036,-70.5394409759639,15.041531149685405,-9.882958450565985
41.34110375685034,-70.53948293624153,14.881133469572365,-9.879997278767133
41.34110841065978,-70.539541743998,14.804229915533988,-9.868295628302516
41.34111923077724,-70.53960942679686,14.98664454431146,-9.85412425248263
41.341112075531534,-70.53965514402567,14.250255744862631,-9.853059047025349
41.34112412550735,-70.53969564001618,14.69978384135911,-9.843129892448802
41.34109274987447,-70.53973684286356,14.2387085551137,-9.857533951132895
41.34108645032473,-70.53978605215084,14.765028034326573,-9.858546356973317
41.34106414340763,-70.53984013458847,14.693340193293919,-9.86882663157416
41.34106441447171,-70.53988374376479,14.59823189502311,-9.866791892079133
41.34104346206935,-70.53993353175879,14.044916814911359,-9.87628579462904
41.341038140524944,-70.53997792187155,14.173953479590697,-9.877291467803854
41.34103448962,-70.5400234044436,14.291445997247926,-9.87731093072136
41.34102244269222,-70.54006854328063,14.082950285143543,-9.881778504766745
41.34100380684249,-70.54010827674134,13.841610888899048,-9.88979513166409
41.340998906313054,-70.54015983985622,14.295103070676735,-9.889844373522665
41.340966382257335,-70.54020598851106,13.725186358189307,-9.904134175131626
41.34097330271585,-70.54025965036033,14.138857135234394,-9.897604310207509
41.34092351406767,-70.54031243852926,14.37620337305606,-9.919115494460193
41.34090663191225,-70.54036347755337,15.067252097180353,-9.92381035733605
41.340913962546445,-70.54040052899765,14.53977461629133,-9.91755980560954
41.34091214031728,-70.54043655936411,13.268514453213207,-9.915639316175549
41.34093060033607,-70.54048345483251,13.53577735253258,-9.90291006391331
41.34087893514915,-70.54051909103008,13.631514929341332,-9.924206307870854
41.340887019843976,-70.54056821734093,13.120518394271034,-9.915707854173158
41.34087008073741,-70.54061699747604,13.151965560371366,-9.918435678424437
41.34084262363828,-70.540654127573,12.573857665219652,-9.926687769116286
41.34082142352906,-70.5407038654867,12.856207913162805,-9.92990388010289
41.34082024984117,-70.54075753288043,13.708772348294755,-9.923127180770743
41.34080828510192,-70.54079416267551,13.331487729484714,-9.923219146357631
41.340845538327244,-70.54086219827543,14.710682228857964,-9.896164582081358
41.340816129762345,-70.54089992534634,13.253442548924987,-9.903547682809547
41.340765932000025,-70.54094070258691,14.261048696520703,-9.919296400399004
