global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
12275619,12257619,12289619,130.51979345961098,122.36309901934278,8.156694440268197
12300675,12282675,12314675,130.47896049246293,120.94009572585323,9.538864766609706
12325280,12307280,12339280,134.88093921180135,132.8694306879824,2.0115085238189465
12350017,12332017,12364017,130.251683710326,123.26544773633678,6.986235973989224
12373526,12355526,12387526,131.2583064787674,121.91847778537814,9.33982869338925
12398315,12380315,12412315,131.2096527036581,120.36033466059222,10.849318043065878
12424656,12406656,12438656,130.6416157705394,123.56585794916089,7.075757821378517
12449392,12431392,12463392,131.53591807586687,127.57582136626209,3.960096709604784
12474309,12456309,12488309,130.03768616538667,120.42631473941255,9.611371425974127
12499201,12481201,12513201,130.1258996909367,119.43298802196837,10.692911668968335
12524058,12506058,12538058,130.53011417798442,124.60099765316647,5.9291165248179425
12548631,12530631,12562631,130.71064315063768,124.879100219316,5.831542931321678
12571585,12553585,12585585,131.0098466165434,120.76542699156938,10.244419624974014
12597854,12579854,12611854,130.26779677959283,119.49031884752699,10.777477932065835
12622449,12604449,12636449,130.52496269988987,118.96720426794353,11.55775843194634
12646992,12628992,12660992,131.17492232386957,124.7916244896168,6.383297834252772
12671728,12653728,12685728,130.5662096005079,121.52555803299322,9.040651567514686
12695543,12677543,12709543,130.22348939945283,119.45884868134493,10.764640718107898
12719985,12701985,12733985,130.93396572144337,119.55187455496294,11.382091166480436
12744550,12726550,12758550,131.60538294899013,124.84298269998172,6.762400249008408
12769182,12751182,12783182,131.51834303653564,119.88909026292788,11.62925277360776
12793717,12775717,12807717,131.47846318049636,121.02998113138455,10.448482049111817
12818385,12800385,12832385,131.38490601722407,121.44345295357581,9.941453063648254
12842846,12824846,12856846,131.49891535239288,121.12628031467816,10.37263503771473
12867234,12849234,12881234,131.29461992649888,121.21294065978921,10.08167926670967
12891933,12873933,12905933,130.4007145220894,119.76419140914385,10.636523112945554
12916657,12898657,12930657,130.67041461072094,120.23531079959683,10.435103811124108
12941178,12923178,12955178,131.12309671732427,119.7539945309531,11.36910218637118
