global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
10125765,10108187,10139436,127.3519953087149,116.53884570098899,10.813149607725919
10150902,10133324,10164573,132.87175686789698,130.91201651434784,1.9597403535491367
10176270,10158692,10189941,126.77334740357512,117.90871655027082,8.864630853304291
10201616,10184038,10215287,127.28982528777267,116.88494417529503,10.40488111247764
10227582,10210004,10241253,126.84110008764895,116.96840020435178,9.872699883297173
10253431,10235853,10267102,126.84962431693256,117.54843876051937,9.301185556413188
10279277,10261699,10292948,127.09542350448778,115.31978903325876,11.775634471229026
10304831,10287253,10318502,127.15599098812424,114.95416784385318,12.20182314427106
10330419,10312841,10344090,132.7582265427568,130.33976939324464,2.4184571495121645
10356272,10338694,10369943,127.25240381952045,116.59283861397554,10.659565205544908
10381427,10363849,10395098,127.22261980815553,115.79098494457811,11.431634863577415
10406448,10388870,10420119,127.25521672050303,118.21487455382504,9.040342166677988
10432651,10415073,10446322,127.13348107418435,116.85725725721795,10.276223816966393
10458320,10440742,10471991,127.02699678692782,115.03789267617236,11.989104110755463
10483967,10466389,10497638,126.9063586040219,116.59791503262585,10.308443571396054
10509172,10491594,10522843,129.4361770660714,126.11875636311696,3.3174207029544363
10533904,10516326,10547575,132.19250220800296,130.29049582658257,1.9020063814203922
10558474,10540896,10572145,128.00935847248962,117.64378534669724,10.36557312579238
10582887,10565309,10596558,127.0854208872272,116.87339345488567,10.212027432341529
10607450,10589872,10621121,126.78077653748943,116.760457615905,10.020318921584433
10632247,10614669,10645918,127.99442603521976,119.34046872335146,8.653957311868297
10657118,10639540,10670789,127.36094982250046,117.05158639973475,10.309363422765713
10681135,10663557,10694806,127.75451619967563,118.05463741052988,9.699878789145757
10705426,10687848,10719097,132.77541719751352,131.35148063268963,1.4239365648238902
10730138,10712560,10743809,127.36252806180076,116.72176379507184,10.640764266728922
10754948,10737370,10768619,127.25875256356997,115.26204567324885,11.996706890321121
10779180,10761602,10792851,127.094229844316,115.05723045801008,12.036999386305922
10805117,10787539,10818788,127.11959960902439,114.58342611635244,12.53617349267195
10829626,10812048,10843297,126.46651254190017,115.92457448918887,10.541938052711302
10854338,10836760,10868009,126.64484089612108,115.79101218392549,10.853828712195593
10879125,10861547,10892796,126.47241763461251,117.68967489368721,8.7827427409253
10903731,10886153,10917402,131.0675120178014,129.06633974412807,2.001172273673319
11699001,11681423,11712672,126.72784596748303,119.80220831299683,6.925637654486209
11723293,11705715,11736964,127.10733959844336,120.05427883866575,7.053060759777608
11747684,11730106,11761355,127.31423203956916,117.9675019360492,9.34673010351996
11772033,11754455,11785704,127.49027622111828,117.666507129604,9.82376909151428
11796164,11778586,11809835,127.53834980132592,119.25786969702287,8.280480104303052
11821298,11803720,11834969,127.16004718436572,118.35509518095981,8.804952003405916
11844605,11827027,11858276,132.31048170922955,130.87049795603644,1.4399837531931041
